# GLOSSARIO.lock — tabela NORMATIVA de termos (fonte unica da verdade)
#
# Este arquivo manda. O GLOSSARIO.md explica; este aqui e' aplicado por
# tools/enforce_glossary.py e verificado por tools/qa_check.py no build.
#
# Regra de ouro: o gatilho e' o RUSSO de origem, nunca o portugues.
# Isso evita corromper substantivos comuns homografos (ex.: «коробки» =
# caixas literais, que NAO sao o Короб/Termitario).
#
# Colunas (TAB):
#   canonico     termo pt-BR obrigatorio
#   gen_num      genero/numero do canonico: ms|fs|mp|fp|inv (inv = nome proprio sem artigo)
#   gatilho_ru   regex case-sensitive aplicada ao campo "ru" da linha de origem
#   proibidos    variantes a substituir, separadas por ';' — formato variante:gen_num
#   nota         justificativa da decisao
#
canonico	gen_num	gatilho_ru	proibidos	nota	ru_display
emshen	inv	\bэмш[еэи]н	Emshin:inv;emshin:inv	Transliteracao unica do curandeiro. 148 contra 1.	эмшен
o Poliedro	ms	\bМногогранник(?:а|е|у|ом)?\b		Sem conflito (753 ocorrencias, 0 variantes).	Многогранник
o Abatedouro	ms	[Бб]ойн(?:я|и|е|ю|ей|ях|ями|ам|ям)?\b|[Бб]оен\b	Matadouro:ms	ALINHADO AO PATHOLOGIC 2 pt-BR (empate de gosto: o usuario escolheu seguir o 2 para quem vem de la' achar a mesma palavra). | ANTES: o Matadouro. Sem conflito.	Бойня
a Impostora	fs	\bСамозванк(?:а|и|е|у|ой)\b	Changeling:fs	Clara. | ATUALIZACAO (auditoria 2026-08-12): ATUALIZACAO: linha ja existia com 'proibidos' vazio (nao pegava vazamento de ingles 'Changeling').	Самозванка
o Abrigo	ms	\bПриют(?:а|е|у|ом)?\b		Casa da Lara.	Приют
o Coágulo	ms	\bСгуст(?:ок|ка|ке|ку|ком)\b		Mansao Olgimsky.	Сгусток
o Átrio	ms	\bСтворк(?:и|ах|ам|ами|ов)\b			Створки
a Rede	fs	\bНевод(?:а|е|у|ом)?\b		Casa da Yulia.	Невод
o Flanco	ms	\bСедл(?:о|а|е|у|ом)\b			Седло
a Pedra do Corvo	fs	Вороний камень			Вороний камень
a Prefeitura	fs	\bУправ(?:а|ы|е|у|ой)\b			Управа
o Projeto Touro	ms	Проект[аеу]? Быков			Проект Быков
a Stillwater	fs	\bОмут(?:а|е|у|ом)?\b		Nome proprio de casa.	Омут
o Recinto Interno	ms	[Вв]нутренний [Пп]окой		Focus do Simon.	внутренний покой
eccellenza	inv	\bэчеленц[аиуе]?\b	Excelência:inv;excelência:inv	Tratamento afetado da Sombra: o RU usa o italiano «эчеленца», nao o russo «превосходительство». Aportuguesar apaga a commedia dell'arte. Sem italico: o RU nao marca.	эчеленца
Pontinho	inv	\bТочечк(?:а|и|е|у|ой)\b	Tochinha:inv;Little:inv	Apelido do assistente Yakov (94 ocorrencias). "Little" e o sobrenome ingles vazando; "Tochinha" foi deriva do Day00.	Точечка
Grande Vlad	inv	Тяж[ёе]л(?:ый|ого|ому|ым|ом) Влад\w*|Толст(?:ый|ого|ому|ым) Влад\w*|Больш(?:ой|ого|ому|им|ом) Влад\w*	Vladão:ms;Vlad, o Gordo:ms	ALINHADO AO PATHOLOGIC 2 pt-BR. Gatilho ampliado: o russo tambem escreve «Тяжелый» sem o e-trema e «Толстый Влад». | ANTES: Vladão. DECISAO DO USUARIO: o aumentativo e como o pt-BR faz apelido, que e o que «Тяжёлый Влад» e em russo. "Vlad, o Gordo" decalca a estrutura do ingles e empilha artigo no meio da frase.	Тяжёлый Влад
Aristarkh	inv	\bАристарх(?:а|е|у|ом)?\b	Aristarco:inv	O projeto mantem transliteracao de nomes russos; "Aristarco" aportuguesa.	Аристарх
o Termitário	ms	\bТермитник(?:а|е|у|ом)?\b		O PREDIO. Nao confundir com «os Termiteiros» (as pessoas, Термиты).	Термитник
Farkhad	inv	\bФархад(?:а|е|у|ом)?\b			Фархад
Boddho	inv	\bБодхо\b			Бодхо
a Torre	fs	\bБашн(?:я|и|е|ю|ей)\b		O Poliedro, como o Kin e as criancas o chamam.	Башня
o Juiz	ms	\bСудь(?:я|и|е|ю|ей)\b		Titulo do Georgiy Kain.	Судья
o Gênio	ms	\bДжинн(?:а|е|у|ом)?\b		Apelido do Pyotr Stamatin.	Джинн
Khulan	inv	\bХулан\b		Dancarina do botequim.	Хулан
Kanjur	inv	\bГанжуур(?:а|е|у)?\b			Ганжуур
Tishka	inv	\bТишк(?:а|и|е|у|ой)\b			Тишка
o Protótipo	ms	\bПрототип(?:а|е|у|ом)?\b		Aparelho do Bachelor.	Прототип
twyrine	inv	\bтвирин(?:а|е|у|ом)?\b		Bebida. A planta e «twyre» (твирь).	твирин
as Senhoras	fp	\bХозяйк(?:и|ах|ам|ами)\b		Videntes das familias governantes.	Хозяйки
Pyotr	inv	\bПётр\b|\bПетр(?:а|у|е|ом)\b	Peter:inv;Piotr:inv	REGRA PERMANENTE DO USUARIO: nome vindo da versao inglesa sempre perde para a transliteracao. O projeto ja faz isso com Andrey (nunca Andrew), Yakov, Artemy — so o Piotr tinha escapado.	Пётр
Tsipukh	inv	\bЦипух(?:а|у|е|ом)?\b	Tsipuch:inv	Personagem estava partido 15 Tsipuch / 18 Tsipukh. Padrao do projeto: х->kh (Aristarkh, Farkhad, Khulan). Em pt-BR "ch" ainda se le /sh/, som que o russo nao tem ali. Os nomes de cena do jogo usam Tsipukh 85x contra 2.	Ципух
Burduk	inv	\bБурдук(?:а|у|е|ом)?\b	Burdock:inv	Sobrenome -> transliteracao. "Burdock" e a palavra inglesa (a planta), forma do texto-fonte. 36 contra 6.	Бурдук
Chernyak	inv	\bЧерняк(?:а|у|е|ом)?\b	Corvo:ms	Sobrenome (de чёрный) -> transliteracao. "Corvo" nem traduz o sentido: e invencao.	Черняк
Lutok	inv	\bЛуток\b|\bЛутк(?:а|у|е|ом)\b	Luntok:inv	Grafia partida (Lutok/Luntok) — provavel erro de digitacao.	Луток
a Mandarina	fs	\bМандаринк(?:а|и|е|у|ой)\b	Clementine:fs	Apelido infantil de passaro (pato-mandarim) -> traduzido, como Andorinhao (Стриж) e Gralha (Галка). "Clementine" e a forma da versao inglesa.	Мандаринка
o Corvinho	ms	\bВоронок\b|\bВоронк(?:а|у|е|ом)\b	Martin:ms;Andorinha:fs	Воронок e diminutivo de ворон (corvo) e tambem a andorinha-dos-beirais. O personagem e MASCULINO («несчастный Воронок», «Жена Воронка умерла»), entao "Andorinha" (fem.) discordava. "Corvinho" mantem o diminutivo, a raiz corvo e o genero. "Martin" e o nome do passaro na versao inglesa.	Воронок
o Tentilhão	ms	\bЩур(?:а|у|е|ом)?\b	Shchur:inv;Finch:inv	Apelido de passaro -> traduzido. "Finch" vem da versao inglesa; "Shchur" transliterava um apelido descritivo.	Щур
Emilia	inv	\bЭмили[йяию]\b	Emília:inv	O projeto translitera sem adaptar ortografia portuguesa (Katerina, nao Catarina; Daniil, nao Daniel). 24 contra 5.	Эмилия
Vlad	inv	\bВлад\b|\bВлад(?:а|у|е|ом)\b	Vlád:inv	Acento nao existe na transliteracao. Erro de digitacao em 5 linhas.	Влад
os Oneirotectas	mp	\bСонн(?:ая|ой|ую|ые|ых|ым)\b	Oneirotectos:mp	Fixado no GLOSSARIO.md (Day03). Substantivo de agente em -a com artigo masculino, como «o poeta», «o profeta». 26 contra 16.	Сонная группа
o Primeiro Surto	ms	\bПерв(?:ая|ой|ую) Вспышк|\bВспышк(?:а|и|е|у|ой)\b	Primeira Irrupção:fs	Mesmo evento com dois nomes: 27 "Primeiro Surto" contra 10 "Primeira Irrupcao". Fixado no GLOSSARIO.md.	Первая Вспышка
os Curtumes	mp	\bКожевенн(?:ый|ом|ого|ым)\b		NAO VARRER automaticamente: 20000.29 cita os dois bairros na mesma linha e a regra de um corrompe o outro. BAIRRO DISTINTO de «Дубильщиков». Confundir manda o jogador ao lugar errado. A linha 20000.29 cita os dois em sequencia e serve de referencia.	Кожевенный
o Bairro dos Curtidores	ms	\bДубильщик(?:ов|ам|ах|и)\b		NAO VARRER automaticamente: 20000.29 cita os dois bairros na mesma linha e a regra de um corrompe o outro. BAIRRO DISTINTO de «Кожевенный». Ver 20000.29.	Дубильщиков
a Estirpe	fs	\bУклад(?:а|у|е|ом)?\b|[Уу]кладск\w+	Kin:ms;Uklad:ms;Costume:ms	ALINHADO AO PATHOLOGIC 2 pt-BR. «Уклад» = ordem/modo de vida; "Kin" era palavra INGLESA crua. Mudou de masculino para feminino: a ferramenta reescreve as contracoes (do Kin -> da Estirpe). | ANTES: o Kin. Etnonimo da estepe. O ingles verte «Уклад» como "the Kin", e o glossario fixa "o Kin" (129 linhas). "Uklad" deixava a palavra russa crua; "Costume" traduzia ao pe da letra.	Уклад
# --- Bachelor: excecao deliberada, NAO e' deriva ---
# «Бакалавр» = "Bachelor" nas 268 falas (titulo-persona, aura medieval-academica).
# MAS "Bacharel em Medicina" nos 2 documentos oficiais (57700.1, 8827.61) esta CORRETO:
# ali e' o grau academico num papel timbrado, nao o titulo-persona. qa_check.py
# ignora esses dois ids.
o Fósforo	ms	Спичк(?:а|и|е|у|ой)	Sticky:ms	Apelido infantil -> traduzido, como a Gralha e a Mandarina. "Sticky" e a forma da versao inglesa; aqui o apelido e traduzido. O item caixa de fosforos usa a mesma palavra no russo, de proposito: o menino tem o nome do objeto.	Спичка
Serelepe	fs	[Бб]елк(?:а|и|е|у|ой)	Belka:fs;Musaranho:ms	Белка = esquilo. A versao inglesa usa "shrew" (musaranho); com o esquilo, a piada da noz em 60282.1 fecha. Serelepe e o nome brasileiro do esquilo e tambem crianca inquieta.	Белка
a Saíra	fs	\bСойк(?:а|и|е|у|ой)\b	Gralha:fs	Apelido infantil de passaro (Сойка = gaio-eurasiatico). Menina do grupo Alma e Meia (Dia 6) — PESSOA DISTINTA da Галка. Estava traduzida como 'Gralha', colidindo com o apelido ja' fixado da Галка.	Сойка
a Perdiz	fs	\bЛун(?:ь|и|ью)\b	Lunin:inv;Lun:inv;Gralha:fs;Grouse:inv	Paciente do hospital que trabalha para o Stamatin separando ervas. Cinco grafias diferentes conviviam; unificada por ser localizacao plena, nao transliteracao. NOTA DE AUDITORIA: 'Gralha' nos proibidos cobre tambem o id 45877.53 (Day08_02b.tsv), que fica sem patch direto nesta remessa — rodar tools/enforce_glossary.py --apply apos travar esta linha corrige esse id automaticamente.	Лунь
o Anu	ms	\bГрач(?:а|у|ом|е)?\b	Gralha:fs	Funcionario da Prefeitura, ficha avulsa 'Grach'. Estava traduzido como 'Gralha', colidindo com o apelido da Галка.	Грач
o Curió	ms	\bКл[ёе]ст(?:а|у|ом|е)?\b	Tentilhão:ms	Suplicante citado na cena do Stepan ('Клёст'). Estava traduzido como 'Tentilhão', roubando o apelido ja' travado de Щур (personagem distinto).	Клёст
os Duas-Almas	mp	\bДвоедушник(?:а|ов|ам|ах|и|ами)?\b	Alma e Meia:fs;Duas-Almas-e-Metade:fs	Faccao recorrente, 4 grafias divergentes. 'Двоедушник' = pessoa de duas almas; 'Alma e Meia' e' mistraducao (sugere 1,5 alma).	Двоедушники
Artista Conceitual	inv	\bКонцепт-художник(?:а)?\b	Concept Artist:inv;Artista de conceito:ms;Artista de Concept Art:ms;Artista de concepção:fs	Cargo dos creditos, 5 grafias incluindo vazamento de ingles puro 'Concept Artist'. Unifica para termo consagrado na industria brasileira.	Концепт-художник
a Vacina de Rubin	fs	\bВакцин(?:а|ы|е|у|ой)\s+Рубина\b	Vaktsina de Rubin:fs	NOVA ENTRADA. Item central da trama do Dia 5. 'Vaktsina' e' transliteracao crua, viola a regra de sempre localizar.	Вакцина Рубина
a Aldeia dos Estepeiros	fs	\bДеревн(?:я|и|е|ю|ей)\s+степняков\b	Vila da Estepe:fs	NOVA ENTRADA. 'степняков' e' genitivo plural de pessoa (morador da estepe); 'Vila da Estepe' perde esse sentido.	Деревня степняков
o Sótão do Stamatin	ms	\bМансард(?:а|ы|е|у|ой)\s+Стаматина\b	Sótão dos Stamatin:mp	NOVA ENTRADA. Genitivo SINGULAR (um so Stamatin, o Pyotr); 'dos Stamatin' pluraliza indevidamente.	Мансарда Стаматина
a Sala de Autópsias de Rubin	fs	\bПрозекторск(?:ая|ой|ую)\s+Рубина\b	Esconderijo de Rubin:ms	NOVA ENTRADA. Verificado nesta auditoria: 4 de 6 ocorrencias usavam 'Esconderijo de Rubin', traducao do termo russo DIFERENTE 'Схрон Рубина'. NAO CONFUNDIR com 'o Esconderijo do Rubin' abaixo — comodos distintos, confirmado por leitura direta do campo RU de cada id.	Прозекторская Рубина
o Esconderijo do Rubin	ms	\bСхрон(?:а|у|е|ом)?\s+Рубина\b		NOVA ENTRADA (documentacao para QA, sem proibidos automaticos). NAO CONFUNDIR com 'a Sala de Autópsias de Rubin' (Прозекторская Рубина).	Схрон Рубина
o Estripador	ms	\bПотрошител(?:ь|я|ю|ем)\b	Esquartejador:ms	NOVA ENTRADA. Convencao consagrada em portugues para 'Ripper' (cf. Jack, o Estripador).	Потрошитель
Atobá	inv	\bОлуш(?:а|и|е|у|ой)\b	Gannet:inv	NOVA ENTRADA. Apelido de passaro de personagem, mesmo padrao ja travado no glossario (nunca deixar em ingles).	Олуша
a Melancolia	fs	\bТоск(?:а|и|е|у|ой)\b	Desespero:inv	NOVA ENTRADA. Medidor central do jogo (Melancholy). VERIFICADO NESTA AUDITORIA em todo o corpus (nao so' na amostra original de 2 linhas): das 7 ocorrencias totais, 5 ja' usam 'Melancolia', 1 e' a corrigida aqui, 1 e' 'Tristeza' em contexto medico distinto que este proibido nao afeta. Confianca alta, corroborada por auditoria independente.	Тоска
a Torre d'Água	fs	\bВодонапорн\w+\s+[Бб]ашн\w+\b	Torre de Água:fs	NOVA ENTRADA. Unifica grafia contraida com artigo definido, padrao dos marcos do corpus. ATENCAO PARA MANUTENCAO FUTURA: o gatilho da linha existente 'a Torre' (Poliedro, \bБашн(?:я|и|е|ю|ей)\b) tambem casaria com estas linhas por conter 'башня', mas essa linha tem 'proibidos' vazio hoje e por isso enforce_glossary.py a ignora — sem conflito de substituicao automatica agora, mas se algum dia adicionarem proibidos aquela linha sera' preciso excluir explicitamente 'Водонапорная'.	Водонапорная башня
o Covil do Abutre	ms	\bЛогов(?:о|а|у|ом)\s+Грифа\b	Covil do Bad Grief:ms;Toca do Grief:ms;Covil de Grief:ms	Segue a troca de Гриф -> o Abutre. | ANTES: o Covil do Bad Grief. NOVA ENTRADA. VERIFICADO NESTA AUDITORIA: das 5 ocorrencias totais de 'Логово Грифа' no corpus, uma (id 37942.0, Day07_02b.tsv) JA usa exatamente 'O Covil do Bad Grief', corroborando fortemente a escolha. A consistencia mais ampla entre 'Grief' e 'Bad Grief' nas 346 mencoes gerais do personagem (283 'Grief' vs 55 'Bad Grief') permanece fora do escopo desta entrada, que trata so' do titulo do local.	Логово Грифа
suplicante	inv	[Пп]росител(?:ь|я|ю|ем|е|и|ей|ям|ями|ях)\b|[Пп]росительниц(?:а|ы|е|у|ей)\b	peticionário:ms;peticionária:fs;solicitante:ms;visitante:ms	NOVA ENTRADA — padronizacao de «проситель / просительница». A nossa traducao oscilava entre CINCO formas ('suplicante X', 'o suplicante X', 'visitante X', 'o peticionário X', 'solicitante'). Escolhido 'suplicante' porque: (1) e' a forma majoritaria do corpus (24 das 36 fichas de NPC ja a usavam); (2) e' comum de dois generos, entao uma unica forma cobre проситель e просительница sem inventar flexao num rotulo de interface; (3) casa com o registro do jogo, enquanto 'peticionario' e' burocratico-juridico; (4) 'visitante' era decalque do ingles 'visitor'. FORMA CANONICA DO ROTULO DE NPC: 'suplicante <Nome>', minusculo e SEM artigo. || CORRECAO DA REVISAO — LEIA ANTES DE MEXER: as formas de PLURAL foram DELIBERADAMENTE RETIRADAS dos proibidos. A proposta original trazia 'peticionários:mp;peticionárias:fp;visitantes:mp', e a simulacao mostrou que isso CORROMPE o texto: como gen_num e' 'inv', replace_one() devolve so a palavra nua e ignora o numero, produzindo «São peticionários» -> «São suplicante» (id 72686.2) e «esses… peticionários» -> «esses… suplicante» (id 76303.32). Os tres ids de plural do corpus (72686.2, 76303.32, 76303.49) foram corrigidos a mao pelos patches P47, P50 e P45. As formas singulares sao seguras: o \b da direita impede que 'peticionário' case dentro de 'peticionários'. Se um dia for preciso cobrir plural pela ferramenta, sera preciso antes ensinar replace_one() a flexionar o canonico — nao basta acrescentar a variante. || A retirada dos artigos dos rotulos tambem foi feita por patch direto (ids 25008.0, 23665.0, 54695.0, 26686.0, 23572.0, 18052.0, 71483.0, 55167.0), porque a ferramenta preserva o artigo que estiver antes. Regra de duas chaves protege os 'visitante' legitimos do corpus (посетитель/гость), que nunca tem «проситель» no russo — confirmado na simulacao: so o id 32871.0 e' tocado.	проситель / просительница
Acauã	inv	\bБуревестник(?:а|у|ом|е)?\b	Burevestnik:inv	NOVA ENTRADA. Suplicante (id 67827.0). Буревестник = petrel/procelariiforme, literalmente 'anunciador da tempestade'. Acauã (Herpetotheres cachinnans) e' a ave que no folclore brasileiro anuncia desgraca e seca — mesma funcao de arauto de catastrofe. NAO usar 'Petrel': existe personagem distinto Петрель = 'Petrel' (id 70894.0).	Буревестник
Azulão	inv	\bВаракуш(?:а|и|е|у|ой)\b	Varakusha:inv	NOVA ENTRADA. Suplicante (id 14312.0). Варакуша = pisco-de-peito-azul (Luscinia svecica), passarinho cantor marcado pelo azul da garganta. Azulão (Cyanoloxia brissonii) e' o cantor azul mais famoso do Brasil e apelido masculino corrente.	Варакуша
Socó	inv	\bВып(?:ь|и|ью)\b	Vyp:inv	NOVA ENTRADA. Suplicante (id 12445.0). Выпь = abetouro (Botaurus stellaris). Socó e' o nome brasileiro do mesmo genero (socó-boi = Botaurus pinnatus): equivalencia zoologica exata, curta e apelidavel.	Выпь
Mergulhão	inv	\bГагар(?:а|ы|е|у|ой)\b	Gagara:inv	NOVA ENTRADA. Suplicante (id 42563.0). Гагара = mobelha (Gavia), ave mergulhadora inexistente no Brasil; Mergulhão (Podicipedidae) e' o equivalente ecologico brasileiro e o nome ja diz o que a ave faz. ATENCAO DE MANUTENCAO — testado na revisao: este gatilho NAO casa com «Гагарка» (ver a linha 'Biguá') nem com o sobrenome «Гагарин», porque exige uma vogal de caso logo apos 'Гагар' seguida de fronteira.	Гагара
Macuco	inv	\bДроф(?:а|ы|е|у|ой)\b	Drofa:inv	NOVA ENTRADA. Suplicante (id 38826.0). Дрофа = abetarda (Otis tarda), ave grande e pesada de chao da estepe. Macuco (Tinamus solitarius) e' a grande ave terrestre brasileira; nome curto, masculino, natural como apelido.	Дрофа
Coleiro	inv	\bДубровник(?:а|у|ом|е)?\b	Dubrovnik:inv	NOVA ENTRADA. Suplicante (id 26220.0). Дубровник = escrevedeira-aureola (Emberiza aureola), pequeno granivoro historicamente capturado em massa. Coleiro (Sporophila caerulescens) e' o granivoro de gaiola por excelencia no Brasil. Descartado 'Canário' de proposito: 'canário na mina / na gaiola' e' metafora recorrente do corpus (37793.22, 63488.17, 7218.1, 38374.2, 38374.3) e o apelido criaria ambiguidade.	Дубровник
Carcará	inv	\bЗимняк(?:а|у|ом|е)?\b	Zimnyak:inv	NOVA ENTRADA. Suplicante (id 9421.0). Зимняк = bútio-calçado (Buteo lagopus). Carcará (Caracara plancus) e' o gaviao brasileiro mais consagrado como apelido de gente. Distinto dos outros dois rapinantes do elenco: Сарыч = Gavião, Чеглок = Cauré.	Зимняк
Batuíra	inv	\bЗу[ёе]к\b|\bЗуйк(?:а|у|ом|е)\b	Zuyok:inv	NOVA ENTRADA. Suplicante (id 29965.0). Зуёк = borrelho (Charadrius); Batuíra e' exatamente o nome brasileiro desse genero. NAO usar 'Quero-quero': ja esta ocupado por dois NPCs (16512.0 Чибис e 44616.0 Пигалица) — colisao pre-existente que vale a pena resolver numa remessa futura.	Зуёк
Jacurutu	inv	\bНеясыт(?:ь|и|ью)\b	Neyasyt:inv	NOVA ENTRADA. Suplicante (id 54695.0). Неясыть = coruja do genero Strix. Jacurutu (Bubo virginianus) e' a grande coruja noturna brasileira, nome tupi, com carga agourenta que serve ao tom do jogo. Uma das tres corujas do elenco — ver Corujinha (Сплюшка) e Suindara (Сыч); os tres nomes sao foneticamente bem distintos.	Неясыть
Tico-tico	inv	\bОвсянк(?:а|и|е|у|ой)\b	Ovsyanka:inv	NOVA ENTRADA. Suplicante (id 26686.0). Овсянка = escrevedeira (Emberiza), batizada por comer graos — a palavra tambem significa mingau de aveia. Tico-tico e' o equivalente brasileiro da familia e preserva a piada do cereal ('tico-tico no fubá').	Овсянка
Irerê	inv	\bПискульк(?:а|и|е|у|ой)\b	Piskulka:inv	NOVA ENTRADA. Suplicante (id 33179.0). Пискулька = ganso-pequeno (Anser erythropus), nomeado a partir de «пищать» = guinchar. Irerê (Dendrocygna viduata) e' o marreco brasileiro batizado pelo proprio assobio agudo: mesma motivacao semantica. Nao colide com 'Marreco' (Чирок, id 23572.0).	Пискулька
Saracura	inv	\bПогоныш(?:а|у|ом|е)?\b	Pogonysh:inv	NOVA ENTRADA. Suplicante (id 51783.0). Погоныш = franga-d'agua-malhada (Porzana porzana). Saracura e' o ralideo brasileiro conhecido de todos. Nao confundir com o outro ralideo do elenco, Коростель = Codorniz.	Погоныш
Arapaçu	inv	\bПоползен(?:ь|ю)\b|\bПоползн(?:я|ю|ем|е)\b	Popolzen:inv	NOVA ENTRADA. Suplicante (id 72040.0). Поползень = trepadeira-azul (Sitta europaea), a ave que percorre o tronco de cabeca para baixo. Nao ha Sittidae no Brasil; Arapaçu (Dendrocolaptidae) e' o trepador de tronco brasileiro. NOTA DA REVISAO: fica proximo de 'Araçari' (Тупик) e 'Arau' (Кайра) na leitura, mas «Поползень» e «Кайра» aparecem SO na propria ficha de NPC, sem uma unica fala no corpus — o risco de confusao para o jogador e' nulo.	Поползень
Carijó	inv	\bРябчик(?:а|у|ом|е)?\b	Grouse:inv;Ryabchik:inv	NOVA ENTRADA. Suplicante (id 74540.0, o Timofey). Рябчик = galinha-do-mato (Tetrastes bonasia); o nome vem de «рябой» = malhado. 'Carijó' significa literalmente plumagem malhada em pt-BR (galinha carijó) e e' apelido corrente. 'Grouse' era ingles cru vazando do EN. O gatilho exige Р maiusculo, o que exclui o substantivo comum. ATENCAO: 'Grouse' tambem consta nos proibidos da linha 'a Perdiz' (Лунь) — sao regras independentes e a regra de duas chaves impede que uma invada a outra (confirmado por simulacao: nenhuma linha do corpus dispara as duas). NAO usar 'Perdiz' aqui.	Рябчик
Gavião	inv	\bСарыч(?:а|у|ом|е)?\b	Sarych:inv	NOVA ENTRADA. Suplicante (id 58684.0). Сарыч = bútio-comum (Buteo buteo), o gaviao ordinario. 'Gavião' e' generico de proposito — e' o que o russo diz — e e' apelido masculino classico no Brasil. Verificado na revisao: 'gavião' NAO aparece como substantivo comum em nenhuma linha do corpus pt, entao nao ha ambiguidade. ATENCAO DE MANUTENCAO: a chave do asset e' Npcs.Old.visitor_Klyost.Name, mas o campo russo diz «Сарыч» — a chave e' enganosa. NAO renomear este NPC para 'Curió': Клёст e' outra personagem (id 71903.0, o Stepan).	Сарыч
Tiziu	inv	\bСпиз(?:а|ы|е|у|ой)\b	Spiza:inv	NOVA ENTRADA. Suplicante (id 8751.0). Спиза = Spiza (do grego σπίζα, tentilhao) — pequeno granivoro de bico grosso. Tiziu (Volatinia jacarina) e' o granivoro pequeno brasileiro de nome curto e sonoro. UNICO item da remessa com identificacao de especie discutivel: o nome escolhido vale para qualquer leitura ('tentilhao' ou 'Spiza americana'), ambas pequenos granivoros, e «Спиза» so aparece nesta ficha (sem falas), o que limita o custo de um eventual erro. NAO usar 'Tentilhão', ja travado para Щур.	Спиза
Corujinha	inv	\bСплюшк(?:а|и|е|у|ой)\b	Splyushka:inv	NOVA ENTRADA. Suplicante (id 28823.0). Сплюшка = mocho-de-orelhas (Otus scops); o russo brinca com «сплю» (durmo). Corujinha e' o nome brasileiro do equivalente exato (Megascops choliba) e o diminutivo mantem o tom de apelido. O russo marca «проситель» (masculino) com substantivo feminino — em pt-BR o apelido feminino com artigo masculino e' construcao normal ('o Corujinha'), e o rotulo padronizado nao leva artigo.	Сплюшка
